nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 USPS       | Test  Loss: 0.3023 | Test  Acc: 0.9172
 SynthDigits| Test  Loss: 0.8868 | Test  Acc: 0.7290
 MNIST-M    | Test  Loss: 0.9273 | Test  Acc: 0.7294
============ Train epoch 9 ============
 MNIST      | Train Loss: 0.1002 | Train Acc: 0.9906
 SVHN       | Train Loss: 0.9605 | Train Acc: 0.8022
 USPS       | Train Loss: 0.1468 | Train Acc: 0.9650
 SynthDigits| Train Loss: 0.3619 | Train Acc: 0.9569
 MNIST-M    | Train Loss: 0.3694 | Train Acc: 0.9758
 MNIST      | Test  Loss: 0.2029 | Test  Acc: 0.9471
 SVHN       | Test  Loss: 1.3963 | Test  Acc: 0.5771
 USPS       | Test  Loss: 0.2648 | Test  Acc: 0.9296
 SynthDigits| Test  Loss: 0.7911 | Test  Acc: 0.7676
 MNIST-M    | Test  Loss: 0.9132 | Test  Acc: 0.7256
============ Train epoch 10 ============
 MNIST      | Train Loss: 0.0992 | Train Acc: 0.9933
 SVHN       | Train Loss: 0.9035 | Train Acc: 0.8156
 USPS       | Train Loss: 0.1640 | Train Acc: 0.9610
 SynthDigits| Train Loss: 0.3354 | Train Acc: 0.9583
 MNIST-M    | Train Loss: 0.3275 | Train Acc: 0.9879
 MNIST      | Test  Loss: 0.2195 | Test  Acc: 0.9434
 SVHN       | Test  Loss: 1.3721 | Test  Acc: 0.5709
 USPS       | Test  Loss: 0.2725 | Test  Acc: 0.9285
 SynthDigits| Test  Loss: 0.7884 | Test  Acc: 0.7644
 MNIST-M    | Test  Loss: 0.8686 | Test  Acc: 0.7441
============ Train epoch 11 ============
 MNIST      | Train Loss: 0.0939 | Train Acc: 0.9919
 SVHN       | Train Loss: 0.8143 | Train Acc: 0.8748
 USPS       | Train Loss: 0.1449 | Train Acc: 0.9704
 SynthDigits| Train Loss: 0.2890 | Train Acc: 0.9758
 MNIST-M    | Train Loss: 0.3082 | Train Acc: 0.9865
 MNIST      | Test  Loss: 0.2140 | Test  Acc: 0.9469
 SVHN       | Test  Loss: 1.3062 | Test  Acc: 0.6017
 USPS       | Test  Loss: 0.2618 | Test  Acc: 0.9296
 SynthDigits| Test  Loss: 0.7576 | Test  Acc: 0.7758
 MNIST-M    | Test  Loss: 0.8768 | Test  Acc: 0.7362
============ Train epoch 12 ============
 MNIST      | Train Loss: 0.0960 | Train Acc: 0.9933
 SVHN       | Train Loss: 0.7889 | Train Acc: 0.8520
 USPS       | Train Loss: 0.1180 | Train Acc: 0.9771
 SynthDigits| Train Loss: 0.2645 | Train Acc: 0.9758
 MNIST-M    | Train Loss: 0.2582 | Train Acc: 0.9946
 MNIST      | Test  Loss: 0.2133 | Test  Acc: 0.9452
 SVHN       | Test  Loss: 1.3194 | Test  Acc: 0.5834
 USPS       | Test  Loss: 0.2529 | Test  Acc: 0.9301
 SynthDigits| Test  Loss: 0.7544 | Test  Acc: 0.7687
 MNIST-M    | Test  Loss: 0.8412 | Test  Acc: 0.7478
============ Train epoch 13 ============
 MNIST      | Train Loss: 0.0871 | Train Acc: 0.9879
 SVHN       | Train Loss: 0.7444 | Train Acc: 0.8560
 USPS       | Train Loss: 0.1034 | Train Acc: 0.9825
 SynthDigits| Train Loss: 0.2182 | Train Acc: 0.9825
 MNIST-M    | Train Loss: 0.2626 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.2202 | Test  Acc: 0.9418
 SVHN       | Test  Loss: 1.2909 | Test  Acc: 0.5915
 USPS       | Test  Loss: 0.2296 | Test  Acc: 0.9409
 SynthDigits| Test  Loss: 0.7143 | Test  Acc: 0.7836
 MNIST-M    | Test  Loss: 0.8609 | Test  Acc: 0.7349
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0867 | Train Acc: 0.9879
 SVHN       | Train Loss: 0.8010 | Train Acc: 0.8318
 USPS       | Train Loss: 0.1149 | Train Acc: 0.9758
 SynthDigits| Train Loss: 0.2292 | Train Acc: 0.9704
 MNIST-M    | Train Loss: 0.2363 | Train Acc: 0.9852
 MNIST      | Test  Loss: 0.2263 | Test  Acc: 0.9366
 SVHN       | Test  Loss: 1.3512 | Test  Acc: 0.5604
 USPS       | Test  Loss: 0.2499 | Test  Acc: 0.9317
 SynthDigits| Test  Loss: 0.7318 | Test  Acc: 0.7722
 MNIST-M    | Test  Loss: 0.8567 | Test  Acc: 0.7259
============ Train epoch 15 ============
 MNIST      | Train Loss: 0.0665 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.6292 | Train Acc: 0.9085
 USPS       | Train Loss: 0.0833 | Train Acc: 0.9852
 SynthDigits| Train Loss: 0.1677 | Train Acc: 0.9892
 MNIST-M    | Train Loss: 0.2104 | Train Acc: 0.9892
 MNIST      | Test  Loss: 0.2010 | Test  Acc: 0.9450
 SVHN       | Test  Loss: 1.2153 | Test  Acc: 0.6209
 USPS       | Test  Loss: 0.2183 | Test  Acc: 0.9425
 SynthDigits| Test  Loss: 0.6802 | Test  Acc: 0.7921
 MNIST-M    | Test  Loss: 0.8387 | Test  Acc: 0.7335
============ Train epoch 16 ============
 MNIST      | Train Loss: 0.0692 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.5846 | Train Acc: 0.9206
 USPS       | Train Loss: 0.0820 | Train Acc: 0.9865
 SynthDigits| Train Loss: 0.1600 | Train Acc: 0.9865
 MNIST-M    | Train Loss: 0.1989 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1920 | Test  Acc: 0.9492
 SVHN       | Test  Loss: 1.1875 | Test  Acc: 0.6302
 USPS       | Test  Loss: 0.2169 | Test  Acc: 0.9430
