nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 USPS       | Test  Loss: 0.3048 | Test  Acc: 0.9151
 SynthDigits| Test  Loss: 0.8821 | Test  Acc: 0.7312
 MNIST-M    | Test  Loss: 0.9381 | Test  Acc: 0.7236
============ Train epoch 9 ============
 MNIST      | Train Loss: 0.0906 | Train Acc: 0.9838
 SVHN       | Train Loss: 0.9474 | Train Acc: 0.8277
 USPS       | Train Loss: 0.1512 | Train Acc: 0.9677
 SynthDigits| Train Loss: 0.3517 | Train Acc: 0.9583
 MNIST-M    | Train Loss: 0.3725 | Train Acc: 0.9744
 MNIST      | Test  Loss: 0.1917 | Test  Acc: 0.9491
 SVHN       | Test  Loss: 1.3848 | Test  Acc: 0.5832
 USPS       | Test  Loss: 0.2715 | Test  Acc: 0.9253
 SynthDigits| Test  Loss: 0.7902 | Test  Acc: 0.7680
 MNIST-M    | Test  Loss: 0.8984 | Test  Acc: 0.7288
============ Train epoch 10 ============
 MNIST      | Train Loss: 0.0948 | Train Acc: 0.9906
 SVHN       | Train Loss: 0.8891 | Train Acc: 0.8385
 USPS       | Train Loss: 0.1658 | Train Acc: 0.9596
 SynthDigits| Train Loss: 0.3226 | Train Acc: 0.9690
 MNIST-M    | Train Loss: 0.3518 | Train Acc: 0.9838
 MNIST      | Test  Loss: 0.2168 | Test  Acc: 0.9429
 SVHN       | Test  Loss: 1.3526 | Test  Acc: 0.5832
 USPS       | Test  Loss: 0.2710 | Test  Acc: 0.9280
 SynthDigits| Test  Loss: 0.7782 | Test  Acc: 0.7682
 MNIST-M    | Test  Loss: 0.8955 | Test  Acc: 0.7369
============ Train epoch 11 ============
 MNIST      | Train Loss: 0.0899 | Train Acc: 0.9906
 SVHN       | Train Loss: 0.8318 | Train Acc: 0.8560
 USPS       | Train Loss: 0.1476 | Train Acc: 0.9677
 SynthDigits| Train Loss: 0.2863 | Train Acc: 0.9758
 MNIST-M    | Train Loss: 0.3030 | Train Acc: 0.9865
 MNIST      | Test  Loss: 0.2119 | Test  Acc: 0.9460
 SVHN       | Test  Loss: 1.3217 | Test  Acc: 0.5934
 USPS       | Test  Loss: 0.2628 | Test  Acc: 0.9258
 SynthDigits| Test  Loss: 0.7444 | Test  Acc: 0.7814
 MNIST-M    | Test  Loss: 0.8659 | Test  Acc: 0.7396
============ Train epoch 12 ============
 MNIST      | Train Loss: 0.0873 | Train Acc: 0.9919
 SVHN       | Train Loss: 0.8239 | Train Acc: 0.8223
 USPS       | Train Loss: 0.1235 | Train Acc: 0.9785
 SynthDigits| Train Loss: 0.2662 | Train Acc: 0.9744
 MNIST-M    | Train Loss: 0.2584 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.2038 | Test  Acc: 0.9476
 SVHN       | Test  Loss: 1.3474 | Test  Acc: 0.5721
 USPS       | Test  Loss: 0.2538 | Test  Acc: 0.9323
 SynthDigits| Test  Loss: 0.7546 | Test  Acc: 0.7686
 MNIST-M    | Test  Loss: 0.8395 | Test  Acc: 0.7464
============ Train epoch 13 ============
 MNIST      | Train Loss: 0.0880 | Train Acc: 0.9879
 SVHN       | Train Loss: 0.7642 | Train Acc: 0.8398
 USPS       | Train Loss: 0.0991 | Train Acc: 0.9812
 SynthDigits| Train Loss: 0.2140 | Train Acc: 0.9852
