nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 USPS       | Test  Loss: 0.2491 | Test  Acc: 0.9425
 SynthDigits| Test  Loss: 0.8449 | Test  Acc: 0.7416
 MNIST-M    | Test  Loss: 0.8702 | Test  Acc: 0.7284
============ Train epoch 9 ============
 MNIST      | Train Loss: 0.1323 | Train Acc: 0.9892
 SVHN       | Train Loss: 0.5139 | Train Acc: 0.9260
 USPS       | Train Loss: 0.0931 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.2945 | Train Acc: 0.9731
 MNIST-M    | Train Loss: 0.2435 | Train Acc: 0.9892
 MNIST      | Test  Loss: 0.2547 | Test  Acc: 0.9426
 SVHN       | Test  Loss: 1.1636 | Test  Acc: 0.6432
 USPS       | Test  Loss: 0.2184 | Test  Acc: 0.9457
 SynthDigits| Test  Loss: 0.7658 | Test  Acc: 0.7749
 MNIST-M    | Test  Loss: 0.8032 | Test  Acc: 0.7586
============ Train epoch 10 ============
 MNIST      | Train Loss: 0.1146 | Train Acc: 0.9933
 SVHN       | Train Loss: 0.4852 | Train Acc: 0.9246
 USPS       | Train Loss: 0.0891 | Train Acc: 0.9919
 SynthDigits| Train Loss: 0.2961 | Train Acc: 0.9664
 MNIST-M    | Train Loss: 0.2652 | Train Acc: 0.9852
 MNIST      | Test  Loss: 0.2470 | Test  Acc: 0.9441
 SVHN       | Test  Loss: 1.1486 | Test  Acc: 0.6494
 USPS       | Test  Loss: 0.1983 | Test  Acc: 0.9543
 SynthDigits| Test  Loss: 0.7819 | Test  Acc: 0.7662
 MNIST-M    | Test  Loss: 0.8442 | Test  Acc: 0.7360
============ Train epoch 11 ============
 MNIST      | Train Loss: 0.0904 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4039 | Train Acc: 0.9475
 USPS       | Train Loss: 0.0796 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.2361 | Train Acc: 0.9879
 MNIST-M    | Train Loss: 0.2110 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.2146 | Test  Acc: 0.9492
 SVHN       | Test  Loss: 1.1170 | Test  Acc: 0.6542
 USPS       | Test  Loss: 0.2054 | Test  Acc: 0.9500
 SynthDigits| Test  Loss: 0.7316 | Test  Acc: 0.7803
